1,2022-01-01,5000.0,milk breads,1,2022-01-01,5000.0,milk,
2,2022-02-01,6000.0,corn,2,2022-02-01,6000.0,corn,
3,2022-03-01,7000.0,rice,3,2022-03-01,7000.0,rice,
4,2022-04-01,8000.0,meat,4,2022-04-01,8000.0,meat,
5,2022-05-01,9000.0,butter,5,2022-05-01,9000.0,butter,
6,2022-01-01,3500.0,towel,,,,,
7,2022-01-05,4500.0,carpet,,,,,
8,2022-01-06,5500.0,dustbin,,,,,
9,2022-01-07,6500.0,table,,,,,
10,2022-01-08,7500.0,bedsheet,,,,,
,,,,6,2022-11-01,11000.0,oil,
,,,,7,2022-11-02,1200.0,paper,
,,,,8,2022-11-03,1300.0,water,
